material_1,material_2,description_1,rev_1,ecn_1,description_2,model_1,owning_site_name_1,owning_group_name_1,part_type_1,prod_family_consolidated_1,prod_line_1,quality_matrix_1,quality_matrix_secs_1,uom_1,oem_vendor_1,components_1,model_2,owning_site_name_2,owning_group_name_2,part_type_2,prod_family_consolidated_2,prod_line_2,quality_matrix_2,quality_matrix_secs_2,uom_2,oem_vendor_2,components_2,api_spec_2,ecn_approve_date_2,reviewed_by_2,approved_by_2,grade_2,material_class_2,product_specification_level_2,project_desc_2,service_class_2,trim_2,weight_lbs_2,min_temp_f_2,max_temp_f_2,status_option_2,customer_vo_num_2,part_report_2,based_on_2,coating_specs_2,grease_specs_2,documents_2,material_spec_alts_2,qspec_2,weld_specs_2,pc1_2,pc2_2,pc3_2,pc4_2,serialization_2,commodity_code_2,material_type_2,material_group_2,class_num_2,is_surface_2,is_subsea_2,main_production_plant_2,main_profit_center_2,main_profit_center_description_2,main_mrp_controller_2,main_mrp_controller_desc_2,standard_cost_usd_2,part_code_2,model match,,,Related,Compatible,Notes
P1000031214,P1000096621,CASING HANGER HOUSING LANDING RING FLUTED BODY F/ 18.750 BOWL 12.91 ID X 3.4 LG AA P-U PSL 1 UH-2,A,1115804,CASING HANGER HOUSING LANDING RING FLUTED BODY F/ 18.750 BOWL 12.91 ID X 3.4 LG EE K-U,DU100029846,HOU,APPLICATION ENGINEERING,N,CASING M REL HANGER,SURFACE,0QM0000,",0QM0000_22.0,0QM0000_22.2",EA,,P1000031486,DU100029846,HOU,APPLICATION ENGINEERING,N,CASING M REL HANGER,SURFACE,0QM0000,",0QM0000_22.0,0QM0000_22.2",EA,,"70-160-828,P1000015200",NA ,11-Jan-12,"Weber, Brian    ","Tang, Toan   ",        ,EE,NA      ,F18035     ,    ,HOU-SURFACE,98,-75,250,RELEASED  ,,  ,P1000031214,,,,M21509,,,HOUSING,LANDING RING,FLUTED,BODY,NO,,,,CASING_MANDREL_HAN,1,0,7500,24230103,HOUSTON WH NEW EQUIPMENT,756,Hou Surface MRP 7,0.01,"/surface/casing_mandrel_hanger.dat:PC1=HOUSING:PC2=LANDING RING:PC3=FLUTED:PC4=BODY:PC5=18.750 BOWL:PC6= ::: :PC7= ::: :PK1=:PC8= ::: :PC9= ::: :PC10= ::: :PC11= ::: :PK2=12.91 ID X 3.4 LG:PC12= ::: :PC13= ::: :PC14= ::: :PC18= ::: :_PC15=E, E:_PC12= ::: :_PC16=K-U:_PC17= ::: :PK3=:, :, :",1,http://kbg1web.net.fmcti.com/cgi-bin/search/part-url.cgi?part=P1000031214,http://kbg1web.net.fmcti.com/cgi-bin/search/part-url.cgi?part=P1000096621,1,0.7,
P1000042451,P1000040784,CASING HANGER MANDREL C-29-EN BODY F/ 13.505 BOWL 4.5 VAM TOP (15.1 LB/FT P-110) BTM DD P-U PSL 1 4.750-4SAM2-2G-LH (F) TOP W/ 5 CONT SCSSV PORTS COMP PACKOFF BTM W/ 7.03 OD SLICK EN W/ SPCL 4-3.834 BPVGOP W/ 5 CONT SCSSV PORTS COMP PACKOFF BTM W/ 7.03 OD SLICK EN W/ SPCL 4-3.834 BPVG,A,1120818,TUBING HANGER BODY TC-1A-EMS 13 5/8 FLG 13.505 BOWL 3 1/2 VAM TOP 9.20 LB/FT BTM 3.625-4SAM2-2G-RH (F) TOP CIW H BPVT 7.115 EN W/4 CONTSCSSV PORTS COMP PACKOFF BTM DD K-U PSL 3 SBMS TOP PREP15 EN W/4 CONTSCSSV PORTS COMP PACKOFF BTM DD K-U PSL 3 SBMS TOP PREP,DU100045411,HOU,APPLICATION ENGINEERING,N,CASING M REL HANGER,SURFACE,0QM0001,",0QM0001_11.0,0QM0001_11.2,0QM0001_4.0,0QM0001_4.1",EA,,70-831-400,DM100044127,HOU,APPLICATION ENGINEERING,N,TUBE HANGER,SURFACE,0QM0003,",0QM0003_11.0,0QM0003_11.2,0QM0003_4.0,0QM0003_4.1",EA,,70-831-400,API 6A  ,  ,"King, Anja   ",   ,        ,DD,PSL 3 or 3G      ,F16402     ,    ,HOU-SURFACE,368,-75,250,UNSET   ,,  ,P1000005738,,,,M21509,,,,,,,Q03401,,,,,1,0,7004,202025,SIS Well PZ,M02,MRP Controller 02,58086.63,"/surface/single_string_tbg_hgr.dat:PC1=BODY:PC2=TC-1A-EMS:PC3=13 5/8:PC4=FLG:PK1=13.505:PC5=BOWL,:PC6=3 1/2:PC7=VAM TOP:PK2=9.20:PC8=LB/FT:PC9=BTM:PC10= ::: :PC11=3.625-4SAM2:PC12=2G-RH (F):PC13=TOP:PC14=CIW H BPVT:PC15=7.115 EN:PC16=W/4 CO, NT SCSSV PORTS:PC17=COMP PACKOFF BTM:_PC18=DD:_PC22= ::: :_PC19=K-U:_PC20=PSL 3:PK3=SBMS TOP PREP:, :, :",0,http://kbg1web.net.fmcti.com/cgi-bin/search/part-url.cgi?part=P1000042451,http://kbg1web.net.fmcti.com/cgi-bin/search/part-url.cgi?part=P1000040784,0,0,
P1000010454,P150897,CASING HANGER R&R TOOL ASSY 7.500-4SAM2-2G-LH (M) BTM X 7 VAM FJL (29.00 LB/FT) (F) TOP AA P-U 6.164 ID W/ DOVETAIL PACKING,A,1101341,CASING HANGER R&R TOOL ASSY 7.500-4SAM2-2G-LH (M) BTM X 7 LC (F) TOP AA P-U 6.39 ID W/ DOVETAIL PACKING NON-MONOGRAMMABLE GSP,DU100005996,HOU,APPLICATION ENGINEERING,N,TOOL CASING HANGER R R,SURFACE,0QM0000,",0QM0000_26.3",EA,,"P1000010456,P1000086691",0010DU1072028,HOU,COE ENGINEERING,N,TOOL,SURFACE,0QM0000,",0QM0000_26.3",EA,,"45-600-107,48-085-622,P1000086691,P150896",NA ,14-Jun-12,"Paguio, Philip   ","Henley, Ron   ",        ,AA,NA      ,F14624     ,    ,HOU-SUBSEA,81,-20,250,  ,,  ,P150891,,,,,,,ASSY,7.500-4SAM2,2G-LH (M),BTM X,NO,EX,31,,CSG_HGR_R_R_TOOL,1,0,7500,24230103,HOUSTON WH NEW EQUIPMENT,756,Hou Surface MRP 7,1791.4,"/surface/csg_hgr_r_r_tool.dat:PC1=ASSY:PC2=7.500-4SAM2:PC3=2G-LH (M):PC4=BTM X:PC5=7:PC6=LC:PK1=:PC7= ::: :_PC9=AA:_PC12= ::: :_PC10=P-U:PK2=6.39 ID, W/ DOVETAIL PACKING, NON-MONOGRAMMABLE, GSP:, :, :, :",0,http://kbg1web.net.fmcti.com/cgi-bin/search/part-url.cgi?part=P1000010454,http://kbg1web.net.fmcti.com/cgi-bin/search/part-url.cgi?part=P150897,1,0.9,
P1000034734,P1000102961,CASING HANGER R&R TOOL BODY 6.000-4NA-2G-LH (M) BTM X 4.5 TC-II-HW (19.2 LB/FT) (F) TOP AA P-U W/ DOVETAIL PACKING GROOVE,A,1118215,CASING HANGER R&R TOOL BODY 6.000-4NA-2G-LH (M) BTM X 5 API BC (F) TOPAA P-U 4.47 MIN ID W/ DOVETAIL PACKING GROOVE,DU100036694,HOU,APPLICATION ENGINEERING,N,TOOL,SURFACE,0QM0000,",0QM0000_26.0,0QM0000_26.2",EA,,"P1000023875,P1000158687",DU100134501,HOU,APPLICATION ENGINEERING,N,TOOL,SURFACE,0QM0000,",0QM0000_26.0,0QM0000_26.2",EA,,"P1000023875,P1000158687",NA ,4-May-12,"Taha, Khalid    ","Garza, Jose   ",NA       ,AA,NA      ,F18158     ,    ,HOU-SURFACE,58,-20,250,RELEASED  ,,NA  ,P1000028939,C81000,,,M20305,,,BODY,6.000-4NA,2G-LH (M),BTM X,NO,,,,CSG_HGR_R_R_TOOL,1,0,7500,24230103,HOUSTON WH NEW EQUIPMENT,756,Hou Surface MRP 7,1333.71,"/surface/csg_hgr_r_r_tool.dat:PC1=BODY:PC2=6.000-4NA:PC3=2G-LH (M):PC4=BTM X:PC5=5:PC6= ::: :PK1=API BC:PC7= ::: :_PC9=AA:_PC12= ::: :_PC10=P-U:PK2=4.47 MIN ID, W/ DOVETAIL PACKING GROOVE:, :, :, :",0,http://kbg1web.net.fmcti.com/cgi-bin/search/part-url.cgi?part=P1000034734,http://kbg1web.net.fmcti.com/cgi-bin/search/part-url.cgi?part=P1000102961,1,0,
P1000074474,P1000054431,CASING HANGER R&R TOOL BODY 7.250-4SAM2-2G-LH (F) BTM X 5 VAM SLIJ II23.20 LB/FT (F) TOP AA P-U F/7.040 OD EN CASING HANGER MANDRELMANDREL,B,1164068,CASING HANGER R&R TOOL BODY 7.250-4SAM2-2G-LH (F) BTM X 7 BC (F) TOP AA P-U F/7 OD CASING LIKE EN HANGER DTO SYSTEM,DU100092260,HOU,APPLICATION ENGINEERING,N,TOOL,SURFACE,0QM0000,",0QM0000_26.0,0QM0000_26.2",EA,,P1000061489,DU100060669,HOU,APPLICATION ENGINEERING,N,TOOL,SURFACE,0QM0000,",0QM0000_26.0,0QM0000_26.2",EA,,"70-110-166,P110314-0002",NA ,29-Aug-08,"Garza, Jose   ","Chirko, Roman   ",        ,AA,NA      ,F15181     ,    ,HOU-SURFACE,100,-20,250,RELEASED  ,,  ,P167252,C81000,,PDD100006405,M21509,,,BODY,7.250-4SAM2,2G-LH (F),BTM X,NO,,,,CSG_HGR_R_R_TOOL,1,0,7500,24230103,HOUSTON WH NEW EQUIPMENT,756,Hou Surface MRP 7,1224.36,"/surface/csg_hgr_r_r_tool.dat:PC1=BODY:PC2=7.250-4SAM2:PC3=2G-LH (F):PC4=BTM X:PC5=7:PC6=BC:PK1=:PC7= ::: :_PC9=AA:_PC12= ::: :_PC10=P-U:PK2=F/7 OD CASING LIKE EN HANGER, DTO SYSTEM:, :, :, :",0,http://kbg1web.net.fmcti.com/cgi-bin/search/part-url.cgi?part=P1000074474,http://kbg1web.net.fmcti.com/cgi-bin/search/part-url.cgi?part=P1000054431,1,0,
P1000088612,P146902,CASING HEAD BODY C-22-BP-ET 8 5/8 SOW W/ TS BTM PREP X 11-5K FLG TOP W/ TWO 2 1/16-5K STDD OUT PREP F/ DET BP A 320 GR L7 NON-EXP BLTG EE K-U PSL 1 WITH EG GROOVEON-EXP BLTG EE K-U PSL 1 WITH EG GROOVE,A,1175410,CASING HEAD BODY C-22-EG 9 5/8 SOW BTM PREP X 11-5K FLG TOP W/ TWO 2 1/16-5K STDD OUT PREP F/ DET BP EE K-U PSL 2 GSP,0013DM1049413,HOU,APPLICATION ENGINEERING,N,HEAD,SURFACE,0QM0001,",0QM0001_1.2,0QM0001_4.0,0QM0001_4.1",EA,,"P1000049732,P1000060964,P146861",0047DU1087845,HOU,APPLICATION ENGINEERING,N,HEAD,SURFACE,0QM0002,",0QM0002_1.2,0QM0002_4.0,0QM0002_4.1",EA,,"P1000049732,P1000060964,P146861",API 6A  ,3-Sep-14,"Richards, Dolly   ","Hernandez, Phil   ",        ,EE,PSL 2      ,     ,    ,HOU-SURFACE,869,-75,250,UNSET   ,,  ,P136909-0001,,,,,,,BODY,C-22-EG,9 5/8,SOW,NO,EX,31,,HEAD_CASING,1,0,5100,EFST-SWHD,SURFACE WELLHEAD,MP1,Surface Mtl Plnr 1,1173.96,"/surface/head_casing.dat:PC1=BODY:PC2=C-22-EG:PC3=9 5/8:PC4=SOW:PK1=:PC5= ::: :PC6= ::: :PC7=11:PC8=5K:PC9=FLG:PC10=W/ TWO:PC11=2 1/16:PC12=5K STDD OUT:PC13=, PREP F/ DET BP:PC14= ::: :_PC22= ::: :_PC16=EE:_PC21= ::: :_PC17=K-U:_PC18=PSL 2:, _PC19= ::: :PK2=GSP:, :, :",0,http://kbg1web.net.fmcti.com/cgi-bin/search/part-url.cgi?part=P1000088612,http://kbg1web.net.fmcti.com/cgi-bin/search/part-url.cgi?part=P146902,1,0,
P154716,P1000061565,CASING HEAD BODY C-22-EG 13 3/8 STC BTM PREP X 13 5/8-5K FLG TOP W/ TWO 2 1/16-5K STDD OUT A 320 GR L7 NON-EXP BLTG EE K-U PSL 2 GSPPSL 2 GSP,G,1238806,CASING HEAD BODY C-22-EG 13 3/8 BC BTM PREP X 13 5/8-5K FLG TOP W/ TWO 2 1/16-5K STDD OUT PREP F/ DET BP A 320 GR L7 NON-EXP BLTG EE K-U PSL 2 GSPP BLTG EE K-U PSL 2 GSP,0047DU1076472,HOU,APPLICATION ENGINEERING,N,HEAD,SURFACE,0QM0002,",0QM0002_1.2,0QM0002_4.0,0QM0002_4.1",EA,,"P1000061599,P1000062073",0047DU1090658,HOU,APPLICATION ENGINEERING,N,HEAD,SURFACE,0QM0002,",0QM0002_1.2,0QM0002_4.0,0QM0002_4.1",EA,,"P1000061599,P1000062073",API 6A  ,26-Aug-14,"Richards, Dolly   ","Hernandez, Phil   ",        ,EE,PSL 2      ,     ,    ,HOU-SURFACE,907,-75,250,UNSET   ,,  ,P165575,,,,,,,BODY,C-22-EG,13 3/8,BC,NO,,,,HEAD_CASING,1,0,EWC1,P812211,EWC1 New Equipement - TA,52,Wellhead Bodies,4666.6704,"/surface/head_casing.dat:PC1=BODY:PC2=C-22-EG:PC3=13 3/8:PC4=BC:PK1=:PC5= ::: :PC6= ::: :PC7=13 5/8:PC8=5K:PC9=FLG:PC10=W/ TWO:PC11=2 1/16:PC12=5K STDD OUT:PC13=, PREP F/ DET BP:PC14= ::: :_PC22=A 320 GR L7, NON-EXP BLTG:_PC16=EE:_PC21= :::, :_PC17=K-U:_PC18=PSL 2:_PC19= ::: :PK2=GSP:, :, :",0,http://kbg1web.net.fmcti.com/cgi-bin/search/part-url.cgi?part=P154716,http://kbg1web.net.fmcti.com/cgi-bin/search/part-url.cgi?part=P1000061565,1,0.9,
P2000068688,P1000061927,CASING HEAD BODY C-22-EG 9 5/8 SOW BTM PREP X 11-3K FLG TOP W/ TWO 2 1/16-5K STDD OUT PREP F/ DET BP EE K-U PSL 3 W/ TWO TEST PORTSTEST PORTS,A,2285721,CASING HEAD BODY C-22-EG 8 5/8 BLANK BTM PREP X 11-3K FLG TOP W/ TWO 2 1/16-5K STDD OUT EE K-U PSL 2 GSP,DU200132263,DUN,APPLICATION ENGINEERING,N,HEAD,SURFACE,0QM0003,",0QM0003_1.0,0QM0003_1.2",EA,,P1000060963,DU100071519,HOU,COE ENGINEERING,N,HEAD,SURFACE,0QM0002,",0QM0002_1.1,0QM0002_4.0,0QM0002_4.1",EA,,P1000060963,API 6A  ,23-Jul-09,"Marshall, Aaron   ","Izbinski, Konrad   ",        ,EE,PSL 2      ,     ,    ,HOU-SURFACE,730,-75,250,UNSET   ,,  ,P1000061306,,,,,,,BODY,C-22-EG,8 5/8,BLANK,Q03400,,,,HEAD_CASING,1,0,7500,24230103,HOUSTON WH NEW EQUIPMENT,756,Hou Surface MRP 7,0.01,"/surface/head_casing.dat:PC1=BODY:PC2=C-22-EG:PC3=8 5/8:PC4=BLANK:PK1=:PC5= ::: :PC6= ::: :PC7=11:PC8=3K:PC9=FLG:PC10=W/ TWO:PC11=2 1/16:PC12=5K STDD OUT:PC13= ::: :PC14= ::: :_PC22= ::: :_PC16=EE:_PC21= ::: :_PC17=K-U:_PC18=PSL 2:_PC19= ::, : :PK2=GSP:, :, :",0,http://kbg1web.net.fmcti.com/cgi-bin/search/part-url.cgi?part=P2000068688,http://kbg1web.net.fmcti.com/cgi-bin/search/part-url.cgi?part=P1000061927,1,0.7,
P2000017762,P2000012564,CASING SPOOL SECTION ASSY C-29-EG 9 5/8 DBL FS BTM PREP 13 5/8-3K FLG BTM X 11-5K FLG TOP W/ TWO 2 1/16-5K STDD OUT W/ ONE GV M120+ EE UPSL 2V M120+ EE UPSL 2,A,2228076,CASING SPOOL SECTION ASSY SHIPPING SECTION C-29-EG 9 5/8 DBL FS BTM PREP 13 5/8-3K FLG BTM X 11-5K FLG TOP W/ TWO 2 1/16-5K STDD OUT EE U PSL 2STDD OUT EE U PSL 2,,DUN,APPLICATION ENGINEERING,N,SECTION ASSY,SURFACE,0QM0002,",0QM0002_14.1",EA,,"26-015-405,26-015-646,45-400-250,45-600-197,48-080-011,48-084-400,48-084-500,48-084-600,48-084-700,48-084-800,48-086-551,48-104-055,48-104-068,48-121-068,62-000-021,62-602-151,62-602-152,62-602-237,62-602-382,62-602-386,69-130-618-50,70-830-250,70-B21509-067,70-B21509-085,70-B33300-015,73-011-224,73-011-257,78-030-244,78-033-021,88-030-052,88-800-005,90-019-511,90-019-979,90-129-221,961845000,P1000000575,P1000000578,P1000000711,P1000001045,P1000001047,P1000001048,P1000001562,P1000002182,P1000006509,P1000011576,P1000015138,P1000015166,P1000019428,P1000019429,P1000020591,P1000033678,P1000036815,P1000036816,P1000038313,P1000148919,P1000149896,P1000191008,P2000012556,P2000012557,P2000037404,P4000020276,P412866",DM200023142,DUN,APPLICATION ENGINEERING,N,SECTION ASSY,SURFACE,0QM0002,",0QM0002_15.0",EA,,"12-070-119,12-071-402,12-081-103,12-081-203,12-081-503,12-081-610,12-081-610-99,12-081-623,12-081-660,12-081-661,12-081-663,12-081-675,12-081-690,12-082-103,12-100-162,12-101-301,12-101-458,48-010-028,48-010-032,48-080-011,48-084-400,48-084-500,48-084-600,48-084-700,48-084-800,48-104-055,48-104-068,48-106-027,48-121-068,62-000-021,62-602-152,62-602-237,69-120-821,70-830-250,70-B21509-067,70-B21509-110,70-B33300-015,70-H11500-086,70-H21400-075,73-061-057,78-030-244,78-033-021,79-010-503,79-030-023,79-030-032,88-030-052,88-800-005,90-019-511,90-019-979,90-129-221,961845000,P1000000575,P1000000578,P1000000711,P1000001045,P1000001047,P1000001048,P1000002182,P1000006509,P1000011576,P1000015138,P1000015166,P1000019428,P1000019429,P1000020591,P1000033678,P1000036815,P1000036816,P1000038313,P1000148919,P1000149896,P1000191008,P2000012559,P2000037404,P4000020276",API 6A  ,  ,   ,   ,2,EE,PSL 2      ,F20354     ,NA    ,SEN-SURFACE,2221,0,250,RELEASED  ,,PR2  ,P2000012559,,,,,,,CASING SPOOL,C-29,9 5/8,U,Q03400,,,,SECTION_ASSY,1,0,EWC1,P812211,EWC1 New Equipement - TA,41L,w/WP<10K&Weight<5T,7839.4064,"/surface/section_assy.dat:PC1=CASING SPOOL:PC2= ::: :PK1=SHIPPING SECTION, C-29-EG, 9 5/8 DBL FS BTM PREP, 13 5/8-3K FLG BTM X 11-5K FLG TOP W/ TWO 2 1/16-5K STDD OUT,:_PC3=EE:_PC4=U:_PC5=PSL 2:_PC6= ::: :, :, :, :",0,http://kbg1web.net.fmcti.com/cgi-bin/search/part-url.cgi?part=P2000017762,http://kbg1web.net.fmcti.com/cgi-bin/search/part-url.cgi?part=P2000012564,,,
24027121725051A,24027081297521A,CENTRALIZED GREASING BASE RISER,D,257106,CENTRALIZED GREASING BASE RISER,2.40271E+12,,,,,,,,EA,,"00Y1801CG0020,00Y771402200M,244000100113,244000100153,248980302210204,248980303210203,248984320230223,248985520231223,248985520732223,248985520733223,24898CG000005,24898CG000006,24898CG000021",24027081297521A,,,,,,,,EA,,"00Y1801CG0020,00Y771402200M,244000100113,244000100153,248980302210204,248980303210203,248984320230223,248985520231223,248985520732223,248985520733223,24898CG000005,24898CG000006,24898CG000021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,ESML,P811111,ESML -New Equipt RA,0,Buy parts,1260.2688,,0,http://kbg1web.net.fmcti.com/cgi-bin/search/part-url.cgi?part=24027121725051A,http://kbg1web.net.fmcti.com/cgi-bin/search/part-url.cgi?part=24027081297521A,,,oldparts
2402717222941A,2402717222921A,CENTRALIZED GREASING BASE RISER LP 8,A,293538,CENTRALIZED GREASING BASE RISER LP,2.40272E+12,,,,,,,,EA,,"00Y1801CG0020,00Y771402200M,244000100113,244000100153,248980302210204,248980303210203,248984320230223,248985520231223,248985522332223,248985522335223,24898CG000007,24898CG000021,24898CG000030",2.40272E+12,,,,,,,,EA,,"00Y1801CG0020,00Y771402200M,244000100113,244000100153,248980302210204,248980303210203,248984320230223,248985520231223,248985522332223,248985522335223,24898CG000007,24898CG000021,24898CG000030",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,ESML,P811111,ESML -New Equipt RA,0,Buy parts,2618.6608,,0,http://kbg1web.net.fmcti.com/cgi-bin/search/part-url.cgi?part=2402717222941A,http://kbg1web.net.fmcti.com/cgi-bin/search/part-url.cgi?part=2402717222921A,,,oldparts
24027141941102A,2402712168902A,CENTRALIZED GREASING INBOARD,B,270975,CENTRALIZED GREASING INBOARD,2402714194101A,,,,,,,,EA,,"00Y1801CG0020,00Y771402200M,244000100113,244000100153,248980302210204,248980303210203,248984320230223,248985520231223,248985520432223,24898CG000011,24898CG000021,24898CG000031",2.40271E+12,,,,,,,,EA,,"00Y1801CG0020,00Y771402200M,244000100113,244000100153,248980302210204,248980303210203,248984320230223,248985520231223,248985520732223,24898CG000011,24898CG000021,24898CG000031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,ESML,P811111,ESML -New Equipt RA,0,Buy parts,2011.5872,,0,http://kbg1web.net.fmcti.com/cgi-bin/search/part-url.cgi?part=24027141941102A,http://kbg1web.net.fmcti.com/cgi-bin/search/part-url.cgi?part=2402712168902A,,,oldparts
2402717222922A,2402717222602A,CENTRALIZED GREASING INBOARD LP,A,293140,CENTRALIZED GREASING INBOARD LP,2.40272E+12,,,,,,,,EA,,"00Y1801CG0020,00Y771402200M,244000100113,244000100153,248980302210204,248980303210203,248984320230223,248985520231223,248985522332223,24898CG000007,24898CG000011,24898CG000021,24898CG000031",2.40272E+12,,,,,,,,EA,,"00Y1801CG0020,00Y771402200M,244000100113,244000100153,248980302210204,248980303210203,248984320230223,248985520231223,248985522332223,24898CG000007,24898CG000011,24898CG000021,24898CG000031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,ESML,P811111,ESML -New Equipt RA,0,Buy parts,2722.5408,,0,http://kbg1web.net.fmcti.com/cgi-bin/search/part-url.cgi?part=2402717222922A,http://kbg1web.net.fmcti.com/cgi-bin/search/part-url.cgi?part=2402717222602A,,,oldparts
62-127-040-50,P2000059456,CHOKE FMC SURFACE 200N/200P BODY 3 1/8-3K FE INLET CONN X 3 1/8-3KFE OUTLET CONN EE K-U PSL 2 W/ 2 MAX ORIFICE,D,2278529,CHOKE FMC SURFACE 200N BODY 2 9/16-2K FE INLET CONN X 2 9/16-2K FEOUTLET CONN EE K-U PSL 2 W/ 1 MAX ORIFICE,DU200071901,DUN,APPLICATION ENGINEERING,S,CHOKE,VALVES,0QM0002,",0QM0002_1.2",EA,,"69-250-101,P214805",DU200110255,DUN,APPLICATION ENGINEERING,N,CHOKE,VALVES,0QM0002,",0QM0002_1.2",EA,,"69-250-101,P214805",API 6A  ,24-Dec-14,"Laboureau, Loic   ","Lauret, Ludovic   ",NA       ,EE,PSL 2      ,F21780     ,NA    ,SEN-SURFACE,128,-75,250,RELEASED  ,,NA  ,62-127-037-50,,,,,,,FMC,200N,BODY,2  9/16,NO,,,,CHOKES_SURFACE_COM,1,0,EWC1,P812211,EWC1 New Equipement - TA,47,GV Bodies,1537.536,"/valves/chokes_surface_components.dat:PC1=FMC:PC2=200N:PC3=BODY:PC4=2 9/16:PC5=2K:PC6=FE:PC7=INLET CONN:PC8=2 9/16:PC9=2K:PC10=FE:PC11=OUTLET CONN:_PC12=EE:_PC13= ::: :_PC14=K-U:_PC15=PSL 2:_PC16= ::: :_PC17= ::: :PC18=W/ 1 MAX ORIFICE:_PC1, 9= ::: :PK1=:, :, :",0,http://kbg1web.net.fmcti.com/cgi-bin/search/part-url.cgi?part=62-127-040-50,http://kbg1web.net.fmcti.com/cgi-bin/search/part-url.cgi?part=P2000059456,1,0,
P2000005909,P2000034008,CIRCULATION CROSSOVER VALVE BLOCK ASSY SUBSEA M3000 2 1/16-10K FMC FOUR BOLT INLET 2 1/16-10K API STDD OUTLET INLAID RG BONN SEALS & SEAT PKTS EE TRIM 90 DEG OUTLET GR 660 BONNET BOLTINGN SEALS & SEAT PKTS EE TRIM 90 DEG OUTLET GR 660 BONNET BOLTING,D,6168765,ANNULUS ACCESS VALVE BLOCK ASSY SUBSEA M130 2 1/16-10K FMC FOUR BOLT INLET W/ 2X 2 1/16-10 API STDD OUTLETS LOCATED 90 DEG APART INLAID RGBONN SEAL & SEAT PKTS W/ 2 1/16-10K M3000 ACTD VALVEART INLAID RGBONN SEAL & SEAT PKTS W/ 2 1/16-10K M3000 ACTD VALVE,DU200015015,KBG,APPLICATION ENGINEERING,N,VALVE BLOCK,SUBSEA,1QM0000,",1QM0000_4.3,1QM0000_4.4.1",EA,,"48-080-043,48-080-089,48-081-882,48-082-728,48-084-535,48-084-635,48-084-735,48-084-850,48-108-113,7107343,78-035-032,90-019-511,90-019-979,90-139-062,DP-48-2145,P1000028642,P1000041366,P1000062435,P1000062477,P1000085686,P1000090934,P1000093893,P1000099513,P1000105604,P1000163835,P103324-0000,P106414-0003,P107878,P113214-0003,P132369-0000,P137171-0000,P137370-0000,P143525,P144177,P150413,P150416,P150421,P150430,P150436,P150439,P150680,P150902,P150903,P150916,P150917,P151483,P152489,P167461,P170765,P170766,P170767,P170813,P170833,P179097,P182188,P182457,P2000008025,P2000055796,P2000066901,P2000067448,P2000067449,P2000067453,P2000067454,P2000067616,P2000067617,P206733,P207074,P207075,P207076,P207077,P207078,P207079,P207080,P207081,P207086,P207087,P207088,P207125,P207145,P207236,P207264,P207265,P207300,P207308,P207309,P208383,P208733,P208734,P4000003182,P4000036704,P416057,P416058,P416059,P416267",DU200008585,DUN,APPLICATION ENGINEERING,N,VALVE BLOCK,SUBSEA,1QM0000,",1QM0000_4.3",EA,,"48-080-043,48-080-089,48-081-882,48-082-728,48-084-535,48-084-635,48-084-735,48-084-850,48-108-113,7107343,78-020-103,78-033-021,78-035-032,90-019-511,90-019-979,90-139-062,DP-48-2145,P1000028642,P1000041366,P1000062435,P1000062477,P1000093893,P1000099513,P1000105604,P1000163835,P103324-0000,P106414-0003,P107878,P113214-0003,P132369-0000,P137171-0000,P137370-0000,P143525,P144177,P150413,P150416,P150421,P150430,P150436,P150439,P150680,P150902,P150903,P150916,P150917,P151483,P152489,P167461,P170765,P170766,P170767,P170813,P170833,P179097,P182188,P182457,P2000007990,P2000008025,P2000034005,P2000034006,P2000034007,P2000055796,P2000066901,P2000067448,P2000067449,P2000067453,P2000067454,P2000067616,P2000067617,P206733,P207074,P207075,P207076,P207077,P207078,P207079,P207080,P207081,P207086,P207087,P207088,P207125,P207145,P207236,P207264,P207265,P207300,P207308,P207309,P208383,P208733,P208734,P4000003182,P4000036704",See GWI045 ,  ,   ,   ,NA       ,EE,PSL 3G      ,     ,NA    ,DUN-SUBSEA,1096,,,PENDING-77  ,,NA  ,P2000003872,,"G70303,G70304","ADF20004428,ASY100002479,ASY200003711,MSM20004430,TST20004427",,,,ANNULUS ACCESS,ASSY,M130,2  1/16,Q03401,,,,VLV_BLK_WING,0,1,EWSC,P6001-00,WCS Management,B11,WCS-SmMd Blocks-MC,15448.61,":/subsea/vlv_blk_wing.dat:PC1=ANNULUS ACCESS:PC2=ASSY:PC3=M130:PC4=2 1/16:PC5=10K:PC6=FMC FOUR BOLT INLET:PC7= ::: :PC8= ::: :PC9= ::: :PC10= ::: :PC11= ::: :PC12= ::: :PC13= ::: :PC14= ::: :PC15= ::: :PC16= ::: :PK1=W/ 2X 2 1/16-10 API STD, D OUTLETS LOCATED 90 DEG APART, INLAID RG, BONN SEAL & SEAT PKTS, W/ 2 1/16-10K M3000 ACTD VALVE:, :, :",0,http://kbg1web.net.fmcti.com/cgi-bin/search/part-url.cgi?part=P2000005909,http://kbg1web.net.fmcti.com/cgi-bin/search/part-url.cgi?part=P2000034008,1,0,
